fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,y_curFix_f
2,8,1453,3331,0,520.050476074219,520.154602050781,21073641,21073856,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,-5.97296524047852,9.13606739044189
3,8,1453,3331,0,491.923614501953,466.945190429688,21073936,21074122,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,6.79132270812988,15.2497968673706
4,8,1453,3331,0,69.0628509521484,63.5588645935059,21074194,21074283,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,19.3076305389404,18.1410312652588
5,8,1453,3331,1,72.6074523925781,82.7784729003906,21074314,21074530,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,18.4740562438965,18.1293621063232
6,8,1453,3331,0,228.773834228516,240.137908935547,21075260,21075727,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,15.3094520568848,14.7961044311523
7,8,1453,3331,0,833.61328125,798.214172363281,21075797,21076046,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,9.39753437042236,16.3286285400391
8,8,1453,3331,0,714.704895019531,683.038757324219,21076136,21076395,14.6225098929059,14.6225098929059,14.6225098929059,-8.84684767815309,-14.8293085098267,11.0186500549316
1,1,1454,3334,0,353.636413574219,332.793365478516,21092777,21092961,14.6225098929059,-2.97950828538835,-8.84684767815309,-2.97950828538835,0.676742553710938,0.958773791790009
1,6,1455,3335,0,307.195007324219,279.550354003906,21099746,21099963,-8.84684767815309,-2.97950828538835,-20.5815264636826,14.6225098929059,0.608807146549225,0.388019055128098
2,6,1455,3335,0,726.978759765625,610.640380859375,21100013,21100394,-8.84684767815309,-2.97950828538835,-20.5815264636826,14.6225098929059,-7.68919897079468,-1.5766282081604
3,6,1455,3335,0,181.184921264648,160.535781860352,21100517,21100801,-8.84684767815309,-2.97950828538835,-20.5815264636826,14.6225098929059,-18.1739177703857,14.5454034805298
4,6,1455,3335,0,176.435745239258,137.997146606445,21100838,21100975,-8.84684767815309,-2.97950828538835,-20.5815264636826,14.6225098929059,-21.6914367675781,15.4795255661011
5,6,1455,3335,0,828.47119140625,812.978332519531,21101009,21101106,-8.84684767815309,-2.97950828538835,-20.5815264636826,14.6225098929059,-21.5322265625,14.1970062255859
6,6,1455,3335,0,260.352020263672,257.041717529297,21101190,21101417,-8.84684767815309,-2.97950828538835,-20.5815264636826,14.6225098929059,-1.28794574737549,0.0221941079944372
1,2,1456,3336,0,418.609954833984,390.397674560547,21107239,21107419,8.75517050014114,-14.7141870709178,-14.7141870709178,-8.84684767815309,0.993650853633881,0.916587173938751
2,2,1456,3336,0,461.349060058594,414.701568603516,21107477,21107668,8.75517050014114,-14.7141870709178,-14.7141870709178,-8.84684767815309,-10.8298540115356,3.66516971588135
1,5,1457,3337,0,325.972869873047,322.221801757813,21114946,21115237,14.6225098929059,-2.97950828538835,-20.5815264636826,14.6225098929059,0.344051688909531,0.84866589307785
2,5,1457,3337,0,970.33056640625,883.425842285156,21115303,21115525,14.6225098929059,-2.97950828538835,-20.5815264636826,14.6225098929059,-8.74208736419678,3.5277144908905
3,5,1457,3337,1,82.217170715332,98.3901138305664,21115657,21115783,14.6225098929059,-2.97950828538835,-20.5815264636826,14.6225098929059,18.7692985534668,0.747882843017578
4,5,1457,3337,0,1040.30126953125,973.722473144531,21115837,21116350,14.6225098929059,-2.97950828538835,-20.5815264636826,14.6225098929059,17.3723907470703,-0.450329333543777
5,5,1457,3337,0,360.264770507813,401.506591796875,21116436,21116929,14.6225098929059,-2.97950828538835,-20.5815264636826,14.6225098929059,-14.5291013717651,3.56491875648499
1,5,1458,3338,0,312.836090087891,301.239349365234,21122456,21122702,8.75517050014114,-14.7141870709178,20.4898492856706,8.75517050014114,0.43674036860466,0.15971751511097
2,5,1458,3338,0,751.894714355469,707.730224609375,21122768,21123030,8.75517050014114,-14.7141870709178,20.4898492856706,8.75517050014114,-7.95766830444336,-1.71919333934784
3,5,1458,3338,0,545.3408203125,531.1474609375,21123121,21123366,8.75517050014114,-14.7141870709178,20.4898492856706,8.75517050014114,8.92771530151367,11.0121088027954
4,5,1458,3338,0,1155.9775390625,1117.32177734375,21123440,21124026,8.75517050014114,-14.7141870709178,20.4898492856706,8.75517050014114,23.043083190918,11.0758504867554
5,5,1458,3338,0,133.574325561523,142.306549072266,21124124,21124330,8.75517050014114,-14.7141870709178,20.4898492856706,8.75517050014114,-14.5082426071167,11.1229982376099
1,5,1459,3339,0,420.357849121094,428.786041259766,21129933,21130135,-2.97950828538835,8.75517050014114,-14.7141870709178,-8.84684767815309,0.336830109357834,0.127109885215759
2,5,1459,3339,1,72.8032150268555,72.8616027832031,21130212,21130404,-2.97950828538835,8.75517050014114,-14.7141870709178,-8.84684767815309,-5.76329565048218,9.63613605499268
3,5,1459,3339,0,581.547607421875,624.349243164063,21130440,21131023,-2.97950828538835,8.75517050014114,-14.7141870709178,-8.84684767815309,-3.84061360359192,9.61436176300049
4,5,1459,3339,0,286.336395263672,286.64208984375,21131109,21131246,-2.97950828538835,8.75517050014114,-14.7141870709178,-8.84684767815309,-5.25906705856323,-7.98495435714722
5,5,1459,3339,0,703.357299804688,707.503234863281,21131312,21131562,-2.97950828538835,8.75517050014114,-14.7141870709178,-8.84684767815309,-12.4851846694946,-7.45392656326294
